epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,1.998932403622916,0.2545,0.3485
2,0.00032,1.7711752922598887,0.35038,0.4228
3,0.00048000000000000007,1.6485991532775177,0.3947,0.4359
4,0.00064,1.5540312345914,0.4369,0.4682
5,0.0008,1.4597184315495106,0.47092,0.5075
6,0.0008,1.281649774975247,0.5387,0.5585
7,0.0007990256201039298,1.222597348735707,0.5626,0.5755
8,0.0007961072274966282,1.1973832813716025,0.57232,0.5857
9,0.0007912590402935223,1.176673280781713,0.57866,0.5722
10,0.0007845046783753276,1.1533779038323297,0.59028,0.5691
11,0.0007758770483143634,1.1342710925701478,0.59534,0.5855
12,0.0007654181830570404,1.1172725916822295,0.60182,0.5544
13,0.0007531790371435709,1.1071304601271035,0.60694,0.5795
14,0.0007392192384625704,1.0889497677941888,0.61218,0.524
15,0.000723606797749979,1.0607244703504775,0.62428,0.5843
16,0.0007064177772475912,1.043247870558523,0.63006,0.5549
17,0.0006877359201354604,1.0111505064927755,0.64038,0.5715
18,0.0006676522425435433,0.9921539176926302,0.64984,0.5842
19,0.0006462645901302633,0.9695791524488807,0.65582,0.6566
20,0.0006236771613882988,0.9481093618604872,0.66646,0.6519
21,0.0006000000000000001,0.9120717763444016,0.68118,0.5932
22,0.000575348458715631,0.9005730681949191,0.68336,0.6099
23,0.0005498426373663649,0.8724400248107326,0.69448,0.6574
24,0.0005236067977499791,0.8486431462554639,0.70514,0.7001
25,0.000496768758239867,0.8236226318439761,0.71516,0.7145
26,0.00046945927106677225,0.8036225248570643,0.72054,0.7039
27,0.00044181138530706145,0.7807596814586741,0.72856,0.6767
28,0.0004139597986810005,0.7586052050078965,0.73648,0.7192
29,0.00038604020131899976,0.7302062833446196,0.74672,0.7496
30,0.0003581886146929387,0.7139060826137148,0.7539,0.7451
31,0.0003305407289332279,0.6881678291664269,0.76152,0.7419
32,0.00030323124176013296,0.6694157567745881,0.7671,0.7255
33,0.0002763932022500211,0.6619178859438476,0.7729,0.7576
34,0.0002501573626336352,0.6343543713348578,0.78412,0.775
35,0.000224651541284369,0.6203938335522838,0.78888,0.7683
36,0.0002000000000000001,0.6070347894197223,0.79112,0.7465
37,0.00017632283861170135,0.5896200240800207,0.79976,0.7466
38,0.00015373540986973668,0.5712172478094868,0.80402,0.8021
39,0.00013234775745645685,0.5540173322076541,0.81276,0.7962
40,0.00011226407986453962,0.5406073036093365,0.81348,0.8099
41,9.358222275240884e-05,0.5218579683495664,0.8211,0.811
42,7.639320225002106e-05,0.5118099420235075,0.82564,0.8195
43,6.078076153742962e-05,0.4997868001232659,0.82872,0.8246
44,4.6820962856429206e-05,0.4861004584365421,0.83454,0.8271
45,3.458181694295961e-05,0.47960289673330225,0.83702,0.8302
46,2.4122951685636676e-05,0.4685185182825359,0.83988,0.832
47,1.5495321624672444e-05,0.46602142667861735,0.84282,0.8309
48,8.740959706477726e-06,0.45784804830149217,0.84444,0.8346
49,3.892772503371855e-06,0.4531365817990796,0.84722,0.8356
50,9.74379896070321e-07,0.45554977392784934,0.84558,0.8372
