epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.272491691669742,0.13388,0.1933
2,0.00032,1.9618334121631023,0.2525,0.3613
3,0.00048000000000000007,1.6893968545614075,0.37538,0.4483
4,0.00064,1.4862736600568924,0.46574,0.5209
5,0.0008,1.3232401376483085,0.52836,0.5777
6,0.0008,1.1288408623344597,0.6003,0.6382
7,0.0007990256201039298,1.0594873743495723,0.62616,0.6363
8,0.0007961072274966282,1.0116097191741182,0.64342,0.6595
9,0.0007912590402935223,0.9738040692048054,0.66044,0.6482
10,0.0007845046783753276,0.9248945683355075,0.68142,0.6626
11,0.0007758770483143634,0.8830660403459921,0.69864,0.6909
12,0.0007654181830570404,0.8484236107018716,0.70984,0.7097
13,0.0007531790371435709,0.8052388888666,0.72804,0.7092
14,0.0007392192384625704,0.7713688084448891,0.73896,0.6756
15,0.000723606797749979,0.7397920707404841,0.75072,0.7195
16,0.0007064177772475912,0.7133382152323522,0.75924,0.7722
17,0.0006877359201354604,0.6762415977958518,0.77306,0.7575
18,0.0006676522425435433,0.6562045555690239,0.77942,0.703
19,0.0006462645901302633,0.6314451145257987,0.78978,0.7875
20,0.0006236771613882988,0.6100080723506738,0.7964,0.7719
21,0.0006000000000000001,0.5834690832543648,0.80626,0.79
22,0.000575348458715631,0.5635337365998162,0.81162,0.763
23,0.0005498426373663649,0.5463114512149402,0.8185,0.8081
24,0.0005236067977499791,0.5267677299135947,0.82242,0.7999
25,0.000496768758239867,0.5012834482037701,0.83484,0.7961
26,0.00046945927106677225,0.48771182616094977,0.83612,0.8163
27,0.00044181138530706145,0.4708283887284012,0.84484,0.8266
28,0.0004139597986810005,0.46063052134952326,0.84748,0.8332
29,0.00038604020131899976,0.44707299260800826,0.8513,0.836
30,0.0003581886146929387,0.4199444546553367,0.86076,0.8262
31,0.0003305407289332279,0.4059718862118849,0.8648,0.8396
32,0.00030323124176013296,0.387945309167164,0.87008,0.8491
33,0.0002763932022500211,0.3727610989320324,0.87638,0.8389
34,0.0002501573626336352,0.36154878345029107,0.87998,0.8566
35,0.000224651541284369,0.3444068002518109,0.88696,0.8546
36,0.0002000000000000001,0.32443261620413755,0.89372,0.852
37,0.00017632283861170135,0.3120229380683424,0.89672,0.8615
38,0.00015373540986973668,0.2985712874438114,0.90098,0.8704
39,0.00013234775745645685,0.2849499681443547,0.90578,0.8739
40,0.00011226407986453962,0.27279076379834466,0.91006,0.8735
41,9.358222275240884e-05,0.2638048988078289,0.91402,0.8743
42,7.639320225002106e-05,0.24751985849548575,0.9194,0.8758
43,6.078076153742962e-05,0.24049024081207326,0.92088,0.8796
44,4.6820962856429206e-05,0.23153946237545817,0.92372,0.8819
45,3.458181694295961e-05,0.22294988146344363,0.92734,0.8832
46,2.4122951685636676e-05,0.21674206784401817,0.93024,0.8839
47,1.5495321624672444e-05,0.21106246028138304,0.93136,0.8842
48,8.740959706477726e-06,0.21012171052424844,0.93104,0.8836
49,3.892772503371855e-06,0.20374323927237156,0.93468,0.8839
50,9.74379896070321e-07,0.205383386077552,0.93282,0.8835
