epoch,loss,train_accuracy,val_accuracy
1,1.3864423783538897,0.58104,0.5763
2,0.9258332874463953,0.6815,0.6574
3,0.7632867736584695,0.74836,0.7173
4,0.6597084575296973,0.75548,0.7103
5,0.5793942797671804,0.823,0.7719
6,0.5264468372173017,0.86168,0.7962
7,0.46857295774133007,0.84132,0.7762
8,0.4121680505897688,0.89136,0.8051
9,0.35895832999587973,0.89362,0.8005
10,0.32461567501277877,0.91548,0.8104
11,0.2910548961337875,0.91762,0.8035
12,0.2488412290735318,0.91436,0.7915
13,0.2312943062856984,0.94826,0.8153
14,0.21495395308107976,0.95316,0.8174
15,0.18803530281690686,0.93912,0.8089
16,0.18079497958616833,0.95906,0.8217
17,0.16548239640758167,0.94458,0.8081
18,0.15728773381989783,0.9471,0.8082
19,0.1487358922467512,0.95096,0.8045
20,0.1469821076211341,0.95,0.8057
