epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2529560788837886,0.14416,0.2209
2,0.00032,1.890636711285032,0.28218,0.3509
3,0.00048000000000000007,1.66021284518114,0.38726,0.4637
4,0.00064,1.4663793419512752,0.47082,0.527
5,0.0008,1.3097163968616061,0.53434,0.5764
6,0.0008,1.1156982633345884,0.6078,0.6494
7,0.0007990256201039298,1.041000887123561,0.6349,0.6199
8,0.0007961072274966282,0.989093912743974,0.65488,0.674
9,0.0007912590402935223,0.9545130083387382,0.67088,0.669
10,0.0007845046783753276,0.9074794188769841,0.69054,0.6439
11,0.0007758770483143634,0.8797989056028169,0.69974,0.7069
12,0.0007654181830570404,0.8388604300232226,0.71336,0.6931
13,0.0007531790371435709,0.8023031886053268,0.72666,0.693
14,0.0007392192384625704,0.7714928139671968,0.73748,0.6966
15,0.000723606797749979,0.7420303901493321,0.74808,0.7243
16,0.0007064177772475912,0.7070978404918393,0.76192,0.758
17,0.0006877359201354604,0.6832638470834242,0.77164,0.7523
18,0.0006676522425435433,0.6603809857733862,0.77976,0.7452
19,0.0006462645901302633,0.6318852049637571,0.78866,0.7822
20,0.0006236771613882988,0.6087729743614051,0.79576,0.7522
21,0.0006000000000000001,0.5901559956685793,0.80352,0.797
22,0.000575348458715631,0.5710389869879946,0.81064,0.7613
23,0.0005498426373663649,0.5514732855033144,0.816,0.784
24,0.0005236067977499791,0.5358463735872758,0.82164,0.8207
25,0.000496768758239867,0.5124226711490601,0.8298,0.7708
26,0.00046945927106677225,0.49563519708041487,0.83476,0.824
27,0.00044181138530706145,0.47698449186438346,0.84288,0.818
28,0.0004139597986810005,0.46055129079069673,0.84718,0.8139
29,0.00038604020131899976,0.4483034573067194,0.85196,0.811
30,0.0003581886146929387,0.4230475558174981,0.86076,0.8445
31,0.0003305407289332279,0.4060253241167215,0.86588,0.8359
32,0.00030323124176013296,0.39579758773133217,0.86846,0.8525
33,0.0002763932022500211,0.3772384477529489,0.8745,0.8458
34,0.0002501573626336352,0.36304615300962295,0.88,0.8563
35,0.000224651541284369,0.34462804818290405,0.88708,0.8539
36,0.0002000000000000001,0.33140136164495315,0.89,0.8464
37,0.00017632283861170135,0.3179481353796305,0.89506,0.8593
38,0.00015373540986973668,0.3035260558242542,0.89976,0.8701
39,0.00013234775745645685,0.28938038824161805,0.90456,0.8647
40,0.00011226407986453962,0.27862620604906047,0.90824,0.8735
41,9.358222275240884e-05,0.2659395294285369,0.9131,0.8806
42,7.639320225002106e-05,0.2513743308140857,0.91708,0.8784
43,6.078076153742962e-05,0.24409620680799887,0.92032,0.8819
44,4.6820962856429206e-05,0.23641114838963725,0.92254,0.8813
45,3.458181694295961e-05,0.2277820402064086,0.92576,0.8837
46,2.4122951685636676e-05,0.21790314605637987,0.92914,0.8821
47,1.5495321624672444e-05,0.21804197183970747,0.92856,0.8854
48,8.740959706477726e-06,0.21274518398603717,0.93032,0.8875
49,3.892772503371855e-06,0.2074276724994411,0.93334,0.8841
50,9.74379896070321e-07,0.20708582681600163,0.93354,0.8848
