epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.3259689680004487,0.13776,0.2076
2,0.00032,1.989845921253336,0.22076,0.1441
3,0.00048000000000000007,1.7807698062553259,0.28386,0.199
4,0.00064,1.6713371391040612,0.32484,0.1129
5,0.0008,1.5880609435596684,0.36292,0.1563
6,0.0008,1.4756948198851954,0.41754,0.187
7,0.0007990256201039298,1.4392154778557262,0.43756,0.131
8,0.0007961072274966282,1.4116167807487692,0.45762,0.1613
9,0.0007912590402935223,1.386900503516654,0.46956,0.1396
10,0.0007845046783753276,1.3586039191461614,0.4877,0.1
11,0.0007758770483143634,1.3409176448295856,0.4985,0.1797
12,0.0007654181830570404,1.310225839815834,0.5135,0.1
13,0.0007531790371435709,1.2952752232094835,0.5195,0.103
14,0.0007392192384625704,1.2755840176366755,0.52798,0.1476
15,0.000723606797749979,1.2615163339965645,0.53498,0.1
16,0.0007064177772475912,1.2486832173848061,0.5397,0.1
17,0.0006877359201354604,1.2192138853657748,0.55332,0.1098
