epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2711717132407587,0.13692,0.179
2,0.00032,1.9850250697227274,0.24338,0.3477
3,0.00048000000000000007,1.7256451050440471,0.35922,0.4304
4,0.00064,1.5269184487076097,0.44766,0.4625
5,0.0008,1.3424557735180032,0.52012,0.5382
6,0.0008,1.1461250343541989,0.59606,0.6284
7,0.0007990256201039298,1.0737266334994087,0.6222,0.6261
8,0.0007961072274966282,1.027784105461676,0.63606,0.6477
9,0.0007912590402935223,0.9952070589723259,0.65164,0.6639
10,0.0007845046783753276,0.9434205382719807,0.67688,0.6078
11,0.0007758770483143634,0.9100538661196771,0.68982,0.6755
12,0.0007654181830570404,0.8646813452928915,0.70516,0.6604
13,0.0007531790371435709,0.8286198393595173,0.7161,0.732
14,0.0007392192384625704,0.7914634145996123,0.73078,0.7434
15,0.000723606797749979,0.7572200063087932,0.74278,0.6878
16,0.0007064177772475912,0.7320317660254994,0.75178,0.7356
17,0.0006877359201354604,0.6992726380797638,0.76362,0.7135
18,0.0006676522425435433,0.6738624314695483,0.77444,0.7437
19,0.0006462645901302633,0.6421891805997754,0.78534,0.7723
20,0.0006236771613882988,0.6206314636829713,0.7912,0.7596
21,0.0006000000000000001,0.5936048047981043,0.8009,0.7903
22,0.000575348458715631,0.5766394507154194,0.80724,0.7657
23,0.0005498426373663649,0.5624937597819215,0.81334,0.7251
24,0.0005236067977499791,0.5376359968806592,0.82338,0.8111
25,0.000496768758239867,0.517600114203961,0.8271,0.8036
26,0.00046945927106677225,0.5016120079605059,0.83278,0.8006
27,0.00044181138530706145,0.4840783347800317,0.8411,0.8309
28,0.0004139597986810005,0.47120601384119054,0.8445,0.8231
29,0.00038604020131899976,0.45465236399822306,0.85008,0.838
30,0.0003581886146929387,0.4318860297687209,0.85688,0.8159
31,0.0003305407289332279,0.4122498720541768,0.86318,0.8401
32,0.00030323124176013296,0.40056573830801867,0.86718,0.8303
33,0.0002763932022500211,0.38336430512853964,0.87284,0.8341
34,0.0002501573626336352,0.36877401835388607,0.87692,0.8496
35,0.000224651541284369,0.35483336482924976,0.88324,0.8552
36,0.0002000000000000001,0.3404915156378143,0.8878,0.8599
37,0.00017632283861170135,0.32354877923411884,0.89284,0.8614
38,0.00015373540986973668,0.30744455252342295,0.8991,0.8659
39,0.00013234775745645685,0.29625963805050687,0.90136,0.8669
40,0.00011226407986453962,0.28107757991986254,0.90848,0.8739
41,9.358222275240884e-05,0.27218836368957244,0.91018,0.8734
42,7.639320225002106e-05,0.2574019551105883,0.91466,0.8764
43,6.078076153742962e-05,0.250586166235679,0.9173,0.8771
44,4.6820962856429206e-05,0.23806890765369168,0.92248,0.8808
45,3.458181694295961e-05,0.23172498031936842,0.92468,0.8814
46,2.4122951685636676e-05,0.2240742878324684,0.92756,0.8797
47,1.5495321624672444e-05,0.2188088352652802,0.92854,0.8826
48,8.740959706477726e-06,0.21721085066767945,0.92988,0.8825
49,3.892772503371855e-06,0.21095053708873032,0.9315,0.8827
50,9.74379896070321e-07,0.2121472945044324,0.93168,0.8839
