epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2501819563094685,0.14128,0.2151
2,0.00032,1.914397166606567,0.26292,0.3524
3,0.00048000000000000007,1.687082186969304,0.37588,0.4435
4,0.00064,1.480113779904742,0.46762,0.5052
5,0.0008,1.3124085728692825,0.53336,0.564
6,0.0008,1.1238045370441743,0.60438,0.6242
7,0.0007990256201039298,1.0533984212126313,0.62988,0.642
8,0.0007961072274966282,0.9941119247926149,0.65436,0.6659
9,0.0007912590402935223,0.9553558826446533,0.6719,0.6394
10,0.0007845046783753276,0.9005692509855804,0.69336,0.5858
11,0.0007758770483143634,0.8719923843369173,0.70696,0.6782
12,0.0007654181830570404,0.8354391071988249,0.71592,0.6256
13,0.0007531790371435709,0.8004888462837628,0.7296,0.6607
14,0.0007392192384625704,0.7754121479860211,0.7395,0.7165
15,0.000723606797749979,0.7427669826366893,0.7487,0.7013
16,0.0007064177772475912,0.7117848108554709,0.76046,0.7109
17,0.0006877359201354604,0.686465447318965,0.76984,0.7497
18,0.0006676522425435433,0.66130206811017,0.77746,0.7558
19,0.0006462645901302633,0.6339152936049348,0.78816,0.7797
20,0.0006236771613882988,0.6113475662766745,0.79562,0.7557
21,0.0006000000000000001,0.5937466045905804,0.8018,0.7791
22,0.000575348458715631,0.5772351216082372,0.80808,0.7713
23,0.0005498426373663649,0.5511416617024447,0.81734,0.6991
24,0.0005236067977499791,0.5336857537428538,0.82238,0.7767
25,0.000496768758239867,0.5125589206300932,0.83054,0.7727
26,0.00046945927106677225,0.49194249510765076,0.83656,0.814
27,0.00044181138530706145,0.4831796945054869,0.84114,0.815
28,0.0004139597986810005,0.46229059645956044,0.84714,0.8078
29,0.00038604020131899976,0.4406970562377652,0.85416,0.8146
30,0.0003581886146929387,0.42110762696613296,0.8606,0.8325
31,0.0003305407289332279,0.40894265649875916,0.86318,0.8304
32,0.00030323124176013296,0.3963213222693666,0.86764,0.8234
33,0.0002763932022500211,0.377139868121951,0.87594,0.837
34,0.0002501573626336352,0.35605832797357406,0.88236,0.8615
35,0.000224651541284369,0.34793654152716713,0.88508,0.8582
36,0.0002000000000000001,0.32637387023118264,0.89288,0.854
37,0.00017632283861170135,0.3168375525209639,0.8952,0.849
38,0.00015373540986973668,0.3009046880221458,0.9009,0.8527
39,0.00013234775745645685,0.2894905968872523,0.9042,0.861
40,0.00011226407986453962,0.27350398641208123,0.9087,0.8692
41,9.358222275240884e-05,0.26388850202962355,0.91354,0.873
42,7.639320225002106e-05,0.24783558715348955,0.91798,0.875
43,6.078076153742962e-05,0.24270796581703127,0.921,0.8771
44,4.6820962856429206e-05,0.23400062533859092,0.923,0.8797
45,3.458181694295961e-05,0.2241183887895953,0.92622,0.8811
46,2.4122951685636676e-05,0.21793248932594542,0.92854,0.88
47,1.5495321624672444e-05,0.21131256867870973,0.93042,0.8817
48,8.740959706477726e-06,0.2094408948531096,0.93316,0.8828
49,3.892772503371855e-06,0.204744356288307,0.93396,0.8829
50,9.74379896070321e-07,0.20354920688488473,0.93402,0.8839
