epoch,lr,loss,train_accuracy,test_accuracy
1,0.00016,2.2575833103209164,0.13864,0.2146
2,0.00032,1.923037254490615,0.26192,0.3601
3,0.00048000000000000007,1.697649832429557,0.3653,0.4355
4,0.00064,1.5012236650876158,0.461,0.436
5,0.0008,1.342493773420195,0.52432,0.5631
6,0.0008,1.1574741316481112,0.59236,0.62
7,0.0007990256201039298,1.089935393625749,0.61898,0.6259
8,0.0007961072274966282,1.0494614597481329,0.63312,0.6445
9,0.0007912590402935223,1.0151683121805446,0.64728,0.6254
10,0.0007845046783753276,0.9677308462131983,0.66594,0.6481
11,0.0007758770483143634,0.9413069635058728,0.67766,0.6744
12,0.0007654181830570404,0.8956019097361071,0.69136,0.7084
13,0.0007531790371435709,0.8615510952427012,0.7047,0.6714
14,0.0007392192384625704,0.8249915340394353,0.7215,0.6726
15,0.000723606797749979,0.7937304870835666,0.73042,0.7037
16,0.0007064177772475912,0.7586598003504377,0.74484,0.6902
17,0.0006877359201354604,0.7295806599759508,0.7539,0.745
18,0.0006676522425435433,0.7029443682381933,0.76216,0.6771
19,0.0006462645901302633,0.669243177120713,0.77648,0.763
20,0.0006236771613882988,0.6487419379168543,0.7829,0.7607
21,0.0006000000000000001,0.6213957510917123,0.79266,0.7764
22,0.000575348458715631,0.603449893180438,0.79992,0.7499
23,0.0005498426373663649,0.5799393017858381,0.8075,0.7419
24,0.0005236067977499791,0.5631364513174327,0.8112,0.787
25,0.000496768758239867,0.5339451272368888,0.8226,0.8084
26,0.00046945927106677225,0.5184051667365078,0.8278,0.7904
27,0.00044181138530706145,0.5067119592679414,0.83282,0.8228
28,0.0004139597986810005,0.4861306822162935,0.8369,0.8227
29,0.00038604020131899976,0.46972072661151376,0.84574,0.818
30,0.0003581886146929387,0.4484656993228357,0.85186,0.8293
31,0.0003305407289332279,0.43054505086493217,0.85784,0.8347
32,0.00030323124176013296,0.4163505548033221,0.86202,0.8385
33,0.0002763932022500211,0.40002712150643155,0.86654,0.8504
34,0.0002501573626336352,0.38413748082301624,0.87388,0.84
35,0.000224651541284369,0.3649354311584056,0.88102,0.8451
36,0.0002000000000000001,0.3432156969418471,0.88662,0.8485
37,0.00017632283861170135,0.3339234676169253,0.8898,0.8526
38,0.00015373540986973668,0.32257149428471754,0.89422,0.8541
39,0.00013234775745645685,0.30998881772103437,0.89852,0.8697
40,0.00011226407986453962,0.29280723414430215,0.90386,0.8642
41,9.358222275240884e-05,0.28368747348529627,0.90692,0.8675
42,7.639320225002106e-05,0.26917728256448475,0.91166,0.8766
43,6.078076153742962e-05,0.26156937699208316,0.91436,0.877
44,4.6820962856429206e-05,0.2536552403393376,0.9167,0.8769
45,3.458181694295961e-05,0.24685111225108078,0.92144,0.8817
46,2.4122951685636676e-05,0.23901368988770635,0.92298,0.8796
47,1.5495321624672444e-05,0.23438800200534507,0.9225,0.8812
48,8.740959706477726e-06,0.23329049228936777,0.9243,0.8831
49,3.892772503371855e-06,0.22490816854539958,0.92704,0.8815
50,9.74379896070321e-07,0.2242772593751721,0.9272,0.8814
