epoch,loss,train_accuracy,val_accuracy
1,1.2325522788345356,0.6769,0.6296
2,0.8078882439667002,0.79328,0.695
3,0.5737194041614337,0.85718,0.7071
4,0.3908335777652233,0.88204,0.7022
5,0.25802599549141075,0.92926,0.7185
6,0.17735895135289872,0.9536,0.7285
7,0.13036005088435415,0.96068,0.7303
8,0.10611567574331675,0.94662,0.7207
9,0.08958953047823875,0.9679,0.7372
10,0.0781266346164143,0.97458,0.7376
11,0.08060652568526662,0.96186,0.7304
12,0.06991282565390591,0.96722,0.7292
13,0.06294844162119242,0.951,0.7075
14,0.0629997933998018,0.9714,0.7395
15,0.05982961428001561,0.956,0.7159
16,0.054149509331359126,0.97852,0.7389
17,0.05294657760249722,0.98322,0.7457
18,0.05308999305309923,0.96192,0.717
19,0.059908829933113375,0.98516,0.7503
20,0.04952819543935911,0.97552,0.7403
