epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,2.219833485924878,0.17098,0.3354,0.002,True
2,1.5116458733876545,0.42298,0.5544,0.002,True
3,1.1163405593327635,0.59878,0.5865,0.002,True
4,0.9009495966735928,0.68414,0.7223,0.002,True
5,0.7630840686089234,0.73546,0.7412,0.002,True
6,0.6702940838547046,0.76778,0.7501,0.002,True
7,0.6007800356866756,0.79472,0.7292,0.002,True
8,0.5537184060076644,0.81116,0.8015,0.002,True
9,0.5040550255912474,0.82784,0.7971,0.002,True
10,0.46527480747964645,0.84192,0.8194,0.002,True
11,0.43351438139133525,0.8521,0.8366,0.002,True
12,0.4068700926970705,0.86076,0.847,0.002,True
13,0.37779867557730257,0.87108,0.8407,0.002,True
14,0.3579883712461625,0.87788,0.8437,0.002,True
15,0.33441718756239075,0.88546,0.855,0.002,True
16,0.3152456152256421,0.89204,0.8637,0.002,True
17,0.29691895460031953,0.89748,0.8554,0.002,True
18,0.2862331580042382,0.90216,0.8539,0.002,True
19,0.2688272936533694,0.9104,0.8558,0.002,True
20,0.25625922482360824,0.91196,0.8727,0.002,True
