epoch,loss,train_accuracy,val_accuracy
1,1.7533002271676612,0.43042,0.4308
2,1.2889418286435745,0.63154,0.6151
3,0.946845556006712,0.71066,0.6792
4,0.7681361471905428,0.75708,0.7154
5,0.6468289955650144,0.82066,0.7475
6,0.5463439692621646,0.82154,0.7419
7,0.4634900391101837,0.8798,0.7759
8,0.3835474090731662,0.88092,0.7644
9,0.3280168167694145,0.91966,0.7861
10,0.27721898025259034,0.93746,0.7927
11,0.23512574470104158,0.9249,0.7749
12,0.1968732259005232,0.94776,0.7782
13,0.16792099854296735,0.96168,0.7852
14,0.1438956754067746,0.96408,0.7885
15,0.13136408417045004,0.95886,0.7796
16,0.11670801889561021,0.97066,0.7934
17,0.11266817809427943,0.97282,0.7882
18,0.10353337128496612,0.98038,0.7936
19,0.09942830158183184,0.97298,0.7848
20,0.09040836811237171,0.9749,0.7873
