epoch,loss,train_accuracy,test_accuracy,learning_rate,use_bn
1,2.5066655326163634,0.2147,0.3401,0.002,False
2,1.5856874509789478,0.41002,0.49,0.002,False
3,1.3741532993499346,0.50274,0.5583,0.002,False
4,1.224328956841509,0.56184,0.6167,0.002,False
5,1.1310663275791768,0.60058,0.6648,0.002,False
6,1.0344805680929017,0.63868,0.6702,0.002,False
7,0.9778608403443376,0.66224,0.6953,0.002,False
8,0.9228906754789681,0.68078,0.7011,0.002,False
9,0.8836013071838467,0.69404,0.7233,0.002,False
10,0.8515015217079513,0.70618,0.7232,0.002,False
11,0.8259725892680815,0.71778,0.7352,0.002,False
12,0.805245815109019,0.72416,0.7498,0.002,False
13,0.781127214660133,0.73244,0.7447,0.002,False
14,0.7465949364548898,0.74506,0.7476,0.002,False
15,0.7432251908313269,0.7494,0.7592,0.002,False
16,0.7177854114108615,0.7577,0.755,0.002,False
17,0.708909689238245,0.76082,0.7641,0.002,False
18,0.6963182709454576,0.76534,0.7726,0.002,False
19,0.676839920181881,0.77152,0.7653,0.002,False
20,0.6599835451992079,0.77554,0.782,0.002,False
